Position	Nickname	FPPG	Salary	Team	Opponent	NF Proj	NF Value	DFF Proj	DFF Value	DVP	USG%	Final Proj	Final Value	PTS for 5x value
SG	Josh Hart	21.54	$4,400.00	NO	TOR	23.8	5.41	22.2	5.05	3	12.2	23	5.23	22.00
PG	Shake Milton	20.82	$4,400.00	PHI	CHA	18.5	4.20	19.8	4.50	28	20.6	19.15	4.35	22.00
SF	Trevor Ariza	19.82	$4,400.00	OKC	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.00
C	Cody Zeller	20.60	$4,400.00	CHA	PHI	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	22.00
C	JaVale McGee	22.18	$4,300.00	CLE	ATL	19.2	4.47	19.2	4.47	24	27.7	19.2	4.47	21.50
SF	Cedi Osman	18.52	$4,200.00	CLE	ATL	22.5	5.36	21	5.00	30	21.2	21.75	5.18	21.00
PG	Rajon Rondo	19.70	$4,200.00	ATL	CLE	16.2	3.86	13.4	3.19	30	16	14.8	3.52	21.00
SF	Justin Jackson	10.90	$4,200.00	OKC	ORL	9.2	2.19	8.7	2.07	21	16.1	8.95	2.13	21.00
SG	JJ Redick	11.46	$4,100.00	NO	TOR	14.7	3.59	16	3.90	3	17.6	15.35	3.74	20.50
PF	Mike Muscala	18.67	$4,100.00	OKC	ORL	13.3	3.24	15.7	3.83	13	19.8	14.5	3.54	20.50
SG	Kevin Huerter	22.40	$4,000.00	ATL	CLE	24.6	6.15	24.9	6.23	26	17.8	24.75	6.19	20.00
C	Aron Baynes	14.93	$4,000.00	TOR	NO	23.3	5.83	17.5	4.38	15	17.8	20.4	5.10	20.00
PG	Cole Anthony	22.50	$4,000.00	ORL	OKC	14.1	3.53	20.9	5.23	2	24.1	17.5	4.38	20.00
PF	Doug McDermott	20.40	$4,000.00	IND	NY	13	3.25	18.8	4.70	21	20.3	15.9	3.98	20.00
SF	Obi Toppin	20.10	$4,000.00	NY	IND	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
SG	Jeremy Lamb	24.83	$4,000.00	IND	NY	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	20.00
SG	Nickeil Alexander-Walker	14.77	$4,000.00	NO	TOR	10.8	2.70	9.2	2.30	3	30.7	10	2.50	20.00
SF	Justin Holiday	17.80	$3,900.00	IND	NY	18.2	4.67	23.3	5.97	16	13.6	20.75	5.32	19.50
C	Dwight Howard	14.58	$3,900.00	PHI	CHA	22.5	5.77	15.2	3.90	25	18.2	18.85	4.83	19.50
SF	Kevin Porter	18.86	$3,900.00	CLE	ATL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.50
SG	Hamidou Diallo	20.30	$3,900.00	OKC	ORL	14.1	3.62	13.1	3.36	15	21.1	13.6	3.49	19.50
PG	Michael Carter-Williams	18.04	$3,800.00	ORL	OKC	18.4	4.84	21.5	5.66	2	14	19.95	5.25	19.00
SF	Danny Green	14.60	$3,800.00	PHI	CHA	19.8	5.21	17.6	4.63	23	12.1	18.7	4.92	19.00
SF	Norman Powell	17.10	$3,800.00	TOR	NO	18.8	4.95	17.8	4.68	17	20.3	18.3	4.82	19.00
PG	TJ McConnell	16.14	$3,800.00	IND	NY	17.3	4.55	17.2	4.53	26	13.6	17.25	4.54	19.00
SF	James Ennis	13.85	$3,800.00	ORL	OKC	12.8	3.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00
PF	Tony Bradley	21.10	$3,800.00	PHI	CHA	1.9	0.50	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00
PF	Khem Birch	16.12	$3,800.00	ORL	OKC	15.4	4.05	12.3	3.24	9	16.4	13.85	3.64	19.00
PG	Kris Dunn	22.39	$3,800.00	ATL	CLE	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	19.00
SG	Matt Thomas	13.17	$3,800.00	TOR	NO	11.3	2.97	14.6	3.84	9	16.5	12.95	3.41	19.00
SG	Malik Monk	17.63	$3,800.00	CHA	PHI	0.5	0.13	2.1	0.55	19	0	1.3	0.34	19.00
PG	Austin Rivers	17.70	$3,700.00	NY	IND	17.2	4.65	18.1	4.89	3	14.3	17.65	4.77	18.50
PG	Aaron Holiday	15.86	$3,700.00	IND	NY	14.3	3.86	18.6	5.03	26	16.9	16.45	4.45	18.50
PF	Gary Clark	4.75	$3,700.00	ORL	OKC	0.1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50
SF	Stanley Johnson	10.80	$3,700.00	TOR	NO	1.1	0.30	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.50
SG	Reggie Bullock	18.36	$3,600.00	NY	IND	18	5.00	16.8	4.67	21	16.3	17.4	4.83	18.00
PF	Nerlens Noel	14.56	$3,600.00	NY	IND	18.9	5.25	14.6	4.06	3	15.8	16.75	4.65	18.00
SF	Kevin Knox	15.72	$3,600.00	NY	IND	16.2	4.50	12.2	3.39	6	16.1	14.2	3.94	18.00
PG	Dante Exum	15.10	$3,600.00	CLE	ATL	14	3.89	11.6	3.22	5	12.1	12.8	3.56	18.00
SF	Kenrich Williams	6.18	$3,600.00	OKC	ORL	5.4	1.50	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
PG	Matthew Dellavedova	9.54	$3,600.00	CLE	ATL	10.3	2.86	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
SG	Tony Snell	15.38	$3,600.00	ATL	CLE	0.1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
C	Willy Hernangomez	7.30	$3,600.00	NO	TOR	#N/A	#N/A	3	0.83	6	17	#N/A	#N/A	18.00
C	Thon Maker	6.80	$3,600.00	CLE	ATL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
PG	Frank Ntilikina	8.57	$3,600.00	NY	IND	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
SF	Isaac Okoro	12.35	$3,600.00	CLE	ATL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
C	Alex Len	13.20	$3,600.00	TOR	NO	3.4	0.94	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	18.00
PF	Dean Wade	7.57	$3,600.00	CLE	ATL	0	0.00	9.8	2.72	16	13.2	4.9	1.36	18.00
C	Jaxson Hayes	8.48	$3,500.00	NO	TOR	18.8	5.37	15.5	4.43	6	10.4	17.15	4.90	17.50
SG	Dwayne Bacon	14.22	$3,500.00	ORL	OKC	13.5	3.86	14.4	4.11	4	14.2	13.95	3.99	17.50
SF	Matisse Thybulle	5.00	$3,500.00	PHI	CHA	13.6	3.89	13.2	3.77	23	9.6	13.4	3.83	17.50
PG	Theo Maledon	10.68	$3,500.00	OKC	ORL	12.4	3.54	12.8	3.66	18	17.1	12.6	3.60	17.50
SG	Cody Martin	10.80	$3,500.00	CHA	PHI	11.9	3.40	9.5	2.71	19	9.5	10.7	3.06	17.50
PF	Chuma Okeke	10.32	$3,500.00	ORL	OKC	0.1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Dylan Windler	8.00	$3,500.00	CLE	ATL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Mike Scott	8.52	$3,500.00	PHI	CHA	9.3	2.66	11.6	3.31	30	13.3	10.45	2.99	17.50
SG	Tyrese Maxey	8.74	$3,500.00	PHI	CHA	6.5	1.86	10	2.86	7	20.5	8.25	2.36	17.50
SG	DeAndre Bembry	2.37	$3,500.00	TOR	NO	8.1	2.31	8.3	2.37	9	15	8.2	2.34	17.50
SG	Theo Pinson	0.30	$3,500.00	NY	IND	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Paul Watson	1.20	$3,500.00	TOR	NO	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Goga Bitadze	8.27	$3,500.00	IND	NY	1.3	0.37	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Vincent Poirier	6.40	$3,500.00	PHI	CHA	1.4	0.40	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Patrick McCaw	13.29	$3,500.00	TOR	NO	1	0.29	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Karim Mane	4.80	$3,500.00	ORL	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Moses Brown	5.40	$3,500.00	OKC	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Marques Bolden	2.07	$3,500.00	CLE	ATL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Dakota Mathias	6.70	$3,500.00	PHI	CHA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Al-Farouq Aminu	15.27	$3,500.00	ORL	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	JaKarr Sampson	1.20	$3,500.00	IND	NY	2.4	0.69	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Solomon Hill	12.02	$3,500.00	ATL	CLE	14.6	4.17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jared Harper	0.00	$3,500.00	NY	IND	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Nate Darling	0.00	$3,500.00	CHA	PHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Nathan Knight	6.07	$3,500.00	ATL	CLE	#N/A	#N/A	8.2	2.34	6	33.5	#N/A	#N/A	17.50
C	Will Magnay	0.00	$3,500.00	NO	TOR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Jalen McDaniels	8.02	$3,500.00	CHA	PHI	6.5	1.86	8.4	2.40	7	19.8	7.45	2.13	17.50
SG	Sindarius Thornwell	6.10	$3,500.00	NO	TOR	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Nicolo Melli	9.10	$3,500.00	NO	TOR	2.8	0.80	9.8	2.80	8	13.9	6.3	1.80	17.50
SG	Damyean Dotson	6.75	$3,500.00	CLE	ATL	12.2	3.49	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Aleksej Pokusevski	13.73	$3,500.00	OKC	ORL	0.6	0.17	11.3	3.23	13	18.2	5.95	1.70	17.50
SF	Darius Miller	0.00	$3,500.00	OKC	ORL	0.5	0.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Skylar Mays	0.00	$3,500.00	ATL	CLE	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Naji Marshall	0.00	$3,500.00	NO	TOR	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Bruno Fernando	10.08	$3,500.00	ATL	CLE	4.6	1.31	6.6	1.89	6	10.7	5.6	1.60	17.50
SF	Kelan Martin	3.60	$3,500.00	IND	NY	0.1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Grant Riller	0.00	$3,500.00	CHA	PHI	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Edmond Sumner	0.00	$3,500.00	IND	NY	0.3	0.09	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Josh Hall	2.10	$3,500.00	OKC	ORL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Vernon Carey	5.70	$3,500.00	CHA	PHI	0.1	0.03	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Nick Richards	1.60	$3,500.00	CHA	PHI	0.5	0.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Kira Lewis	4.25	$3,500.00	NO	TOR	0.2	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Jonathan Isaac	32.27	$3,500.00	ORL	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Furkan Korkmaz	11.90	$3,500.00	PHI	CHA	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Dennis Smith	11.40	$3,500.00	NY	IND	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Isaiah Joe	4.55	$3,500.00	PHI	CHA	0.5	0.14	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Paul Reed	0.00	$3,500.00	PHI	CHA	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Terrance Ferguson	1.35	$3,500.00	PHI	CHA	1.2	0.34	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Terence Davis	6.90	$3,500.00	TOR	NO	1.9	0.54	7.5	2.14	9	24.4	4.7	1.34	17.50
SG	Cassius Stanley	2.60	$3,500.00	IND	NY	0.4	0.11	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jalen Harris	0.00	$3,500.00	TOR	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Mo Bamba	16.81	$3,500.00	ORL	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Malachi Flynn	0.00	$3,500.00	TOR	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Caleb Martin	14.60	$3,500.00	CHA	PHI	0.3	0.09	7.6	2.17	20	17.6	3.95	1.13	17.50
PF	Lamar Stevens	2.20	$3,500.00	CLE	ATL	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Wenyen Gabriel	5.85	$3,500.00	NO	TOR	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PF	Omari Spellman	16.74	$3,500.00	NY	IND	0.2	0.06	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jordan Bone	7.90	$3,500.00	ORL	OKC	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Jalen Lecque	4.05	$3,500.00	IND	NY	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Brian Bowen	2.73	$3,500.00	IND	NY	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
PG	Immanuel Quickley	10.70	$3,500.00	NY	IND	0	0.00	4.8	1.37	3	15.4	2.4	0.69	17.50
SG	Yuta Watanabe	12.30	$3,500.00	TOR	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
C	Onyeka Okongwu	0.00	$3,500.00	ATL	CLE	0.2	0.06	1.7	0.49	21	0	0.95	0.27	17.50
PG	Brandon Goodwin	9.83	$3,500.00	ATL	CLE	0.6	0.17	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SG	Ty Jerome	8.36	$3,500.00	OKC	ORL	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
SF	Ignas Brazdeikis	2.20	$3,500.00	NY	IND	0	0.00	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	17.50
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
						#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	0.00
